Input Number, Run_Number, Result@ 100, B, D, X1, H, M, PO, CE, Y, CO, PE, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 7, 62, 9, 6, 2, 9, 18, 27, 18, 62
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 7, 56, 9, 5, 3, 9, 18, 27, 17, 56
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 14, 87, 9, 5, 3, 9, 18, 27, 26, 87
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 36, 214, 9, 6, 2, 9, 18, 27, 48, 214
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 29, 153, 9, 5, 3, 9, 18, 27, 41, 153
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 9, 162, 9, 6, 2, 9, 18, 27, 18, 162
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 17, 125, 9, 4, 4, 9, 18, 27, 29, 125
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 18, 68, 9, 2, 6, 9, 18, 27, 31, 68
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 28, 104, 9, 5, 3, 9, 18, 27, 41, 104
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 37, 127, 9, 5, 3, 9, 18, 27, 48, 127
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 6, 15, 9, 6, 2, 9, 18, 27, 20, 15
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 15, 170, 9, 4, 4, 9, 18, 27, 25, 170
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 12, 113, 9, 7, 1, 9, 18, 27, 24, 113
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 0, 16, 16, 0, 1, 54, 7, 18, 26, 223, 9, 5, 3, 9, 18, 27, 42, 223
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 15, 103, 9, 6, 2, 9, 18, 27, 26, 103
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 8, 71, 9, 4, 4, 9, 18, 27, 20, 71
