Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 032, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0, 17, 18, 17, 124, 9, 5, 3, 9, 18, 27, 26, 132
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0, 17, 18, 13, 89, 9, 4, 4, 9, 18, 27, 22, 97
INVAR-1, Run: 034, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0, 13, 18, 16, 82, 9, 6, 2, 9, 18, 27, 25, 86
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0, 14, 18, 21, 82, 9, 6, 2, 9, 18, 27, 30, 87
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 9, 0, 22, 1, 32, 0, 31, 18, 12, 101, 9, 5, 3, 9, 18, 27, 21, 123
INVAR-1, Run: 037, F, 0, 0, 0, 0, 0, 9, 0, 16, 1, 38, 0, 25, 18, 16, 105, 9, 6, 2, 9, 18, 27, 25, 121
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 9, 0, 13, 1, 41, 0, 22, 18, 22, 129, 9, 7, 1, 9, 18, 27, 31, 142
INVAR-1, Run: 039, F, 0, 0, 0, 0, 0, 9, 0, 3, 1, 51, 0, 12, 18, 13, 61, 9, 5, 3, 9, 18, 27, 22, 64
INVAR-1, Run: 040, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0, 10, 18, 11, 71, 9, 7, 1, 9, 18, 27, 20, 72
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0, 14, 18, 14, 73, 9, 5, 3, 9, 18, 27, 23, 78
INVAR-1, Run: 042, F, 0, 0, 0, 0, 0, 9, 0, 39, 1, 15, 0, 48, 18, 17, 49, 9, 4, 4, 9, 18, 27, 26, 88
INVAR-1, Run: 043, F, 0, 0, 0, 0, 0, 9, 0, 3, 1, 51, 0, 12, 18, 16, 82, 9, 4, 4, 9, 18, 27, 25, 85
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0, 10, 18, 23, 92, 9, 6, 2, 9, 18, 27, 32, 93
INVAR-1, Run: 045, F, 0, 0, 0, 0, 0, 9, 0, 20, 1, 34, 0, 29, 18, 16, 62, 9, 6, 2, 9, 18, 27, 25, 82
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0, 15, 18, 18, 112, 9, 5, 3, 9, 18, 27, 27, 118
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0, 13, 18, 18, 121, 9, 8, 0, 9, 18, 27, 27, 125
