Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B
2, Run: 030, P, 0, 0, 0, 0, 0, 0, 0, 45, 1, 123, 0
2, Run: 031, P, 0, 0, 0, 0, 0, 0, 0, 13, 1, 155, 0
2, Run: 032, P, 0, 0, 0, 0, 0, 0, 0, 29, 1, 139, 0
2, Run: 033, P, 0, 0, 0, 0, 0, 0, 0, 48, 1, 120, 0
2, Run: 034, P, 0, 0, 0, 0, 0, 0, 0, 43, 1, 125, 0
2, Run: 035, P, 0, 0, 0, 0, 0, 0, 0, 14, 1, 154, 0
2, Run: 036, P, 0, 0, 0, 0, 0, 0, 0, 29, 1, 139, 0
2, Run: 037, P, 0, 0, 0, 0, 0, 0, 0, 24, 1, 144, 0
2, Run: 038, P, 0, 0, 0, 0, 0, 0, 0, 46, 1, 122, 0
2, Run: 039, P, 0, 0, 0, 0, 0, 0, 0, 107, 1, 61, 0
2, Run: 040, P, 0, 0, 0, 0, 0, 0, 0, 50, 1, 118, 0
2, Run: 041, P, 0, 0, 0, 0, 0, 0, 0, 20, 1, 148, 0
2, Run: 042, P, 0, 0, 0, 0, 0, 0, 0, 50, 1, 118, 0
2, Run: 043, P, 0, 0, 0, 0, 0, 0, 0, 42, 1, 126, 0
2, Run: 044, P, 0, 0, 0, 0, 0, 0, 0, 50, 1, 118, 0
2, Run: 045, P, 0, 0, 0, 0, 0, 0, 0, 102, 1, 66, 0
2, Run: 046, P, 0, 0, 0, 0, 0, 0, 0, 36, 1, 132, 0
2, Run: 047, P, 0, 0, 0, 0, 0, 0, 0, 69, 1, 99, 0
2, Run: 048, P, 0, 0, 0, 0, 0, 0, 0, 34, 1, 134, 0
2, Run: 049, P, 0, 0, 0, 0, 0, 0, 0, 44, 1, 124, 0
2, Run: 050, P, 0, 0, 0, 0, 0, 0, 0, 33, 1, 135, 0
2, Run: 051, P, 0, 0, 0, 0, 0, 0, 0, 50, 1, 118, 0
2, Run: 052, P, 0, 0, 0, 0, 0, 0, 0, 44, 1, 124, 0
2, Run: 053, P, 0, 0, 0, 0, 0, 0, 0, 54, 1, 114, 0
2, Run: 054, P, 0, 0, 0, 0, 0, 0, 0, 45, 1, 123, 0
2, Run: 055, P, 0, 0, 0, 0, 0, 0, 0, 35, 1, 133, 0
