Input Number, Run_Number, Result@ 100, predator_g494, prey_mrna595, prey_H1, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, F, 0, 1, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 97, 98, 97, 106, 103, 112, 61, 1, 0, 1, 0, 50, 1, 34, 2, 107, 1, 1, 0, 105, 3, 110, 110, 97, 96, 93, 93, 96, 64, 64, 3, 3, 3, 30, 1, 32, 0, 0, 34, 34, 3, 1, 97, 0, 0
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 5, 0, 114, 113, 112, 104, 104, 115, 63, 5, 0, 5, 0, 50, 3, 24, 0, 101, 0, 0, 0, 100, 4, 79, 79, 97, 97, 85, 85, 87, 63, 54, 1, 4, 1, 30, 3, 24, 2, 2, 24, 24, 5, 5, 116, 0, 0
INVAR-1, Run: 013, F, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 88, 100, 99, 92, 91, 84, 48, 0, 0, 0, 0, 36, 0, 32, 0, 109, 0, 0, 0, 107, 0, 93, 91, 118, 118, 122, 122, 110, 72, 69, 0, 0, 0, 37, 1, 38, 0, 0, 32, 32, 0, 0, 88, 0, 0
INVAR-1, Run: 014, F, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 3, 0, 93, 98, 97, 113, 112, 116, 65, 0, 0, 3, 0, 51, 0, 29, 0, 94, 2, 2, 0, 91, 5, 69, 69, 93, 92, 96, 96, 88, 58, 56, 2, 5, 2, 27, 1, 30, 0, 0, 29, 29, 1, 1, 94, 0, 0
INVAR-1, Run: 015, F, 0, 1, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 106, 114, 114, 90, 88, 99, 60, 17, 0, 2, 0, 38, 6, 28, 2, 81, 4, 4, 4, 83, 7, 92, 90, 97, 97, 90, 90, 81, 52, 43, 5, 7, 5, 15, 12, 29, 11, 11, 28, 28, 14, 12, 107, 0, 0
INVAR-1, Run: 016, F, 0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 3, 0, 97, 119, 119, 89, 86, 77, 47, 0, 0, 3, 0, 29, 0, 33, 0, 101, 0, 0, 0, 99, 2, 85, 85, 89, 88, 78, 77, 103, 71, 63, 0, 2, 0, 29, 1, 31, 0, 0, 34, 34, 0, 0, 97, 0, 0
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 112, 137, 134, 90, 90, 105, 63, 0, 0, 2, 0, 42, 0, 18, 0, 91, 0, 0, 0, 90, 1, 86, 86, 85, 85, 81, 81, 71, 38, 35, 0, 1, 0, 17, 1, 32, 0, 0, 18, 18, 3, 3, 116, 0, 0
INVAR-1, Run: 018, F, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 1, 1, 1, 0, 101, 115, 113, 105, 105, 115, 66, 0, 0, 1, 0, 49, 0, 35, 0, 129, 0, 0, 0, 128, 2, 130, 130, 121, 120, 136, 133, 129, 67, 69, 0, 2, 0, 34, 1, 62, 0, 0, 35, 35, 0, 0, 101, 0, 0
INVAR-1, Run: 019, F, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 4, 0, 87, 84, 84, 97, 96, 86, 46, 10, 0, 4, 0, 38, 6, 31, 1, 99, 2, 2, 0, 98, 10, 96, 96, 106, 105, 96, 96, 105, 57, 60, 5, 10, 5, 27, 5, 46, 4, 4, 33, 33, 10, 9, 88, 0, 0
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 107, 129, 129, 106, 104, 132, 63, 0, 0, 0, 0, 68, 0, 23, 0, 108, 0, 0, 0, 107, 0, 101, 99, 114, 112, 91, 91, 106, 62, 56, 0, 0, 0, 32, 1, 44, 0, 0, 24, 23, 0, 0, 108, 0, 0
INVAR-1, Run: 021, F, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 117, 114, 114, 117, 116, 135, 57, 0, 0, 2, 0, 77, 0, 32, 0, 102, 0, 0, 0, 99, 1, 96, 94, 85, 85, 87, 87, 93, 57, 54, 0, 1, 0, 22, 1, 36, 0, 0, 32, 32, 0, 0, 117, 0, 0
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 0, 4, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0, 1, 1, 1, 0, 109, 133, 129, 104, 101, 76, 41, 0, 0, 1, 0, 35, 0, 27, 0, 113, 3, 3, 0, 112, 1, 103, 103, 95, 93, 118, 117, 101, 48, 60, 5, 1, 5, 33, 1, 51, 0, 0, 27, 27, 1, 1, 109, 0, 0
INVAR-1, Run: 023, F, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 2, 3, 0, 0, 0, 0, 1, 1, 2, 0, 97, 87, 87, 96, 95, 118, 74, 0, 0, 2, 0, 43, 0, 13, 0, 124, 0, 0, 0, 121, 2, 97, 93, 82, 80, 88, 85, 64, 35, 36, 0, 2, 0, 23, 1, 29, 0, 0, 13, 13, 2, 2, 97, 0, 0
INVAR-1, Run: 024, F, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 114, 106, 105, 97, 97, 103, 48, 0, 0, 1, 0, 55, 0, 27, 0, 102, 0, 0, 0, 99, 1, 96, 94, 93, 91, 85, 85, 112, 72, 51, 0, 1, 0, 23, 1, 40, 0, 0, 28, 28, 1, 1, 115, 0, 0
INVAR-1, Run: 025, F, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 95, 97, 96, 77, 77, 85, 56, 0, 0, 0, 0, 29, 0, 36, 0, 105, 4, 4, 8, 110, 0, 129, 128, 89, 89, 93, 93, 113, 67, 80, 2, 0, 2, 44, 1, 46, 0, 0, 36, 36, 0, 0, 96, 0, 0
INVAR-1, Run: 026, F, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 2, 0, 76, 54, 54, 81, 80, 87, 64, 3, 0, 2, 0, 22, 1, 44, 2, 89, 2, 2, 4, 92, 6, 97, 97, 108, 107, 105, 104, 121, 81, 98, 3, 6, 3, 53, 3, 40, 2, 2, 45, 44, 4, 2, 78, 0, 0
INVAR-1, Run: 027, F, 0, 2, 0, 0, 0, 4, 4, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 1, 5, 0, 108, 121, 117, 94, 93, 79, 44, 7, 0, 5, 0, 35, 4, 54, 0, 107, 0, 0, 0, 104, 7, 65, 65, 107, 105, 101, 101, 105, 75, 101, 0, 7, 0, 45, 4, 28, 3, 3, 55, 55, 3, 3, 112, 0, 0
INVAR-1, Run: 028, F, 0, 2, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 3, 0, 115, 148, 145, 117, 116, 104, 47, 3, 0, 3, 0, 57, 1, 36, 0, 94, 0, 0, 0, 91, 3, 119, 117, 104, 104, 107, 106, 110, 73, 72, 0, 3, 0, 36, 3, 37, 2, 2, 36, 36, 5, 5, 115, 0, 0
INVAR-1, Run: 029, F, 0, 2, 0, 0, 0, 1, 0, 1, 3, 5, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 102, 120, 120, 100, 97, 101, 45, 0, 0, 0, 0, 51, 0, 27, 0, 113, 0, 0, 0, 110, 0, 104, 103, 101, 101, 116, 116, 126, 88, 70, 0, 0, 0, 43, 1, 38, 0, 0, 27, 27, 0, 0, 103, 0, 0
INVAR-1, Run: 030, F, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 3, 1, 2, 0, 0, 1, 1, 5, 0, 100, 95, 93, 106, 106, 106, 71, 7, 0, 5, 0, 35, 4, 24, 5, 95, 4, 4, 2, 96, 12, 100, 99, 120, 119, 121, 118, 116, 71, 54, 4, 12, 4, 28, 4, 44, 3, 3, 24, 24, 9, 4, 100, 0, 0
INVAR-1, Run: 031, F, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 3, 0, 117, 111, 109, 98, 98, 97, 63, 3, 0, 3, 0, 34, 3, 28, 0, 118, 0, 0, 0, 116, 3, 129, 129, 113, 112, 130, 129, 151, 73, 56, 0, 3, 0, 28, 1, 78, 0, 0, 28, 28, 2, 2, 118, 0, 0
INVAR-1, Run: 032, F, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 4, 0, 82, 106, 105, 80, 80, 79, 50, 3, 0, 4, 0, 29, 2, 22, 0, 107, 0, 0, 0, 106, 3, 116, 115, 89, 88, 71, 70, 68, 46, 52, 0, 3, 0, 29, 2, 21, 1, 1, 22, 22, 5, 5, 83, 0, 0
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 1, 1, 1, 0, 93, 93, 93, 116, 115, 99, 58, 0, 0, 1, 0, 41, 0, 34, 0, 102, 0, 0, 0, 101, 0, 85, 85, 91, 89, 80, 78, 82, 54, 68, 0, 0, 0, 34, 1, 28, 0, 0, 34, 34, 0, 0, 93, 0, 0
INVAR-1, Run: 034, F, 0, 1, 0, 0, 0, 4, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 2, 3, 1, 0, 1, 1, 1, 16, 3, 102, 128, 127, 89, 88, 67, 39, 9, 5, 16, 5, 27, 5, 58, 1, 85, 11, 11, 13, 96, 24, 125, 124, 119, 119, 134, 132, 146, 83, 104, 5, 24, 5, 43, 5, 60, 4, 4, 60, 59, 19, 18, 103, 3, 3
INVAR-1, Run: 035, F, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 7, 0, 92, 74, 74, 94, 93, 94, 57, 3, 0, 7, 0, 36, 1, 25, 2, 106, 1, 1, 0, 104, 3, 113, 111, 115, 114, 105, 104, 108, 59, 54, 1, 3, 1, 29, 3, 48, 2, 2, 25, 25, 7, 5, 93, 0, 0
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 4, 1, 94, 95, 94, 99, 98, 105, 64, 2, 1, 4, 1, 41, 1, 46, 2, 105, 0, 0, 0, 104, 6, 97, 97, 111, 111, 113, 113, 143, 87, 87, 0, 6, 0, 41, 2, 56, 1, 1, 46, 46, 6, 4, 93, 1, 1
INVAR-1, Run: 037, F, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 86, 93, 93, 79, 77, 93, 63, 0, 0, 1, 0, 28, 0, 24, 0, 121, 0, 0, 0, 119, 2, 126, 125, 108, 107, 112, 111, 100, 55, 52, 0, 2, 0, 28, 1, 45, 0, 0, 24, 24, 0, 0, 86, 0, 0
INVAR-1, Run: 038, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 4, 7, 2, 0, 0, 0, 1, 1, 0, 0, 102, 95, 95, 108, 108, 110, 81, 0, 0, 0, 0, 29, 0, 31, 0, 104, 0, 0, 0, 102, 0, 124, 124, 96, 92, 101, 94, 98, 53, 60, 0, 0, 0, 27, 1, 43, 0, 0, 33, 33, 0, 0, 102, 0, 0
INVAR-1, Run: 039, F, 0, 2, 0, 0, 0, 2, 3, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 1, 1, 1, 0, 121, 134, 131, 106, 106, 101, 46, 0, 0, 1, 0, 52, 0, 37, 0, 95, 0, 0, 0, 92, 0, 89, 88, 108, 107, 104, 102, 121, 66, 72, 0, 0, 0, 35, 1, 55, 0, 0, 37, 37, 0, 0, 123, 0, 0
INVAR-1, Run: 040, F, 0, 2, 0, 0, 0, 3, 2, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 5, 0, 73, 75, 73, 108, 105, 101, 67, 5, 0, 5, 0, 34, 2, 21, 1, 113, 0, 0, 0, 110, 3, 117, 117, 91, 91, 96, 96, 84, 49, 46, 0, 3, 0, 25, 4, 35, 3, 3, 21, 21, 8, 7, 76, 0, 0
INVAR-1, Run: 041, F, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 3, 2, 0, 0, 0, 1, 1, 2, 0, 110, 86, 85, 95, 94, 92, 60, 1, 1, 2, 1, 32, 1, 27, 0, 111, 1, 1, 3, 112, 4, 124, 123, 108, 107, 98, 95, 112, 61, 52, 2, 4, 2, 25, 1, 49, 0, 0, 27, 27, 2, 2, 111, 0, 0
INVAR-1, Run: 042, F, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 2, 1, 0, 0, 0, 0, 1, 1, 4, 0, 94, 87, 86, 98, 96, 88, 59, 0, 0, 4, 0, 29, 0, 34, 1, 95, 2, 2, 2, 95, 11, 101, 98, 99, 97, 106, 105, 99, 76, 65, 1, 11, 1, 31, 1, 23, 0, 0, 34, 34, 8, 7, 94, 0, 0
INVAR-1, Run: 043, F, 0, 2, 0, 0, 0, 1, 0, 1, 4, 2, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 5, 0, 101, 132, 132, 108, 104, 85, 47, 0, 0, 5, 0, 36, 0, 18, 0, 138, 0, 0, 0, 135, 7, 157, 155, 84, 84, 72, 71, 91, 44, 41, 0, 7, 0, 22, 1, 47, 0, 0, 19, 19, 1, 1, 102, 0, 0
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 5, 5, 4, 0, 3, 1, 1, 8, 6, 85, 85, 83, 106, 104, 109, 74, 8, 6, 8, 6, 35, 7, 33, 5, 98, 3, 3, 3, 100, 12, 108, 108, 97, 96, 114, 109, 109, 70, 77, 2, 12, 2, 37, 2, 34, 1, 1, 36, 33, 12, 7, 79, 5, 5
INVAR-1, Run: 045, F, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 93, 91, 91, 120, 119, 98, 63, 0, 0, 0, 0, 35, 0, 30, 0, 102, 0, 0, 0, 98, 0, 101, 99, 93, 91, 114, 114, 103, 57, 55, 0, 0, 0, 25, 1, 46, 0, 0, 30, 30, 0, 0, 93, 0, 0
INVAR-1, Run: 046, F, 0, 2, 0, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 97, 87, 84, 98, 98, 96, 58, 0, 0, 1, 0, 38, 0, 32, 0, 100, 0, 0, 0, 97, 3, 105, 104, 99, 98, 106, 106, 91, 50, 58, 0, 3, 0, 26, 1, 41, 0, 0, 32, 32, 1, 1, 99, 0, 0
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 1, 1, 5, 0, 117, 119, 116, 113, 112, 124, 85, 8, 0, 5, 0, 39, 3, 33, 1, 103, 2, 2, 0, 102, 7, 103, 100, 90, 90, 75, 74, 82, 49, 50, 2, 7, 2, 17, 6, 33, 5, 5, 33, 33, 8, 7, 119, 0, 0
INVAR-1, Run: 048, F, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 11, 8, 92, 87, 86, 82, 82, 85, 51, 18, 8, 11, 8, 34, 8, 39, 2, 81, 3, 3, 1, 80, 15, 66, 66, 95, 93, 88, 87, 80, 57, 79, 12, 15, 12, 40, 11, 22, 10, 10, 39, 39, 15, 13, 84, 8, 8
INVAR-1, Run: 049, F, 0, 2, 0, 0, 0, 2, 2, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 97, 94, 92, 92, 90, 113, 72, 1, 0, 2, 0, 40, 0, 21, 1, 100, 0, 0, 0, 97, 8, 127, 126, 98, 98, 90, 90, 78, 47, 47, 1, 8, 1, 25, 2, 31, 1, 1, 22, 22, 1, 0, 99, 0, 0
INVAR-1, Run: 050, F, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 5, 1, 88, 102, 102, 97, 97, 92, 57, 5, 1, 5, 1, 35, 3, 37, 0, 120, 2, 2, 2, 119, 5, 116, 116, 109, 109, 85, 85, 91, 42, 58, 6, 5, 6, 20, 3, 49, 2, 2, 38, 38, 5, 5, 87, 2, 2
INVAR-1, Run: 051, F, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 1, 1, 3, 0, 96, 101, 101, 90, 89, 69, 41, 1, 0, 3, 0, 27, 1, 19, 0, 110, 0, 0, 0, 109, 7, 111, 111, 84, 81, 107, 107, 77, 36, 39, 1, 7, 1, 20, 1, 40, 0, 0, 19, 19, 2, 2, 96, 0, 0
INVAR-1, Run: 052, F, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 99, 79, 77, 82, 82, 67, 47, 2, 0, 2, 0, 20, 0, 28, 1, 101, 0, 0, 0, 99, 1, 103, 101, 98, 97, 100, 100, 109, 59, 61, 1, 1, 1, 33, 3, 50, 2, 2, 28, 28, 1, 0, 99, 0, 0
INVAR-1, Run: 053, F, 0, 2, 0, 0, 0, 1, 0, 1, 2, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 92, 79, 79, 90, 88, 113, 67, 1, 0, 1, 0, 39, 1, 21, 0, 120, 0, 0, 0, 117, 1, 124, 124, 82, 81, 69, 68, 80, 55, 57, 0, 1, 0, 35, 1, 24, 0, 0, 21, 21, 4, 4, 93, 0, 0
INVAR-1, Run: 054, F, 0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 1, 1, 6, 2, 111, 109, 107, 115, 114, 101, 52, 0, 5, 6, 5, 48, 0, 17, 0, 107, 2, 2, 0, 104, 7, 104, 101, 102, 101, 93, 93, 93, 60, 36, 1, 7, 1, 19, 1, 33, 0, 0, 17, 17, 2, 2, 109, 1, 1
