Input Number, Run_Number, Result@ 100, predator_g494, prey_mrna595, prey_H1, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 2, 3, 0, 0, 1, 1, 1, 4, 9, 83, 83, 82, 101, 101, 102, 69, 0, 4, 4, 4, 33, 0, 24, 0, 102, 0, 0, 0, 100, 4, 113, 112, 103, 101, 114, 112, 99, 59, 55, 0, 4, 0, 30, 1, 37, 0, 0, 25, 24, 0, 0, 75, 4, 4
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 109, 115, 114, 92, 90, 91, 57, 0, 0, 0, 0, 34, 0, 34, 0, 108, 0, 0, 0, 107, 0, 100, 99, 93, 92, 83, 83, 111, 65, 72, 0, 0, 0, 38, 1, 46, 0, 0, 34, 34, 0, 0, 109, 0, 0
INVAR-1, Run: 003, F, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 3, 2, 2, 0, 1, 1, 1, 7, 0, 100, 100, 100, 116, 116, 103, 68, 1, 0, 7, 0, 35, 0, 30, 5, 94, 0, 0, 0, 92, 5, 83, 83, 101, 99, 79, 76, 97, 63, 71, 1, 5, 1, 37, 2, 32, 1, 1, 32, 31, 8, 3, 101, 0, 0
INVAR-1, Run: 004, F, 0, 1, 0, 0, 0, 1, 3, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 3, 1, 0, 0, 0, 1, 1, 0, 0, 101, 130, 127, 98, 96, 114, 67, 0, 0, 0, 0, 46, 0, 22, 0, 106, 0, 0, 0, 104, 0, 103, 102, 77, 75, 91, 88, 73, 43, 43, 0, 0, 0, 21, 1, 29, 0, 0, 22, 22, 0, 0, 102, 0, 0
INVAR-1, Run: 005, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3, 1, 1, 0, 0, 1, 1, 2, 0, 107, 89, 89, 86, 86, 52, 28, 0, 0, 2, 0, 24, 0, 50, 0, 108, 0, 0, 0, 106, 3, 119, 119, 94, 93, 100, 97, 127, 76, 87, 1, 3, 1, 36, 1, 50, 0, 0, 50, 50, 0, 0, 107, 0, 0
INVAR-1, Run: 006, F, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 3, 0, 4, 1, 1, 2, 0, 127, 140, 139, 109, 109, 117, 67, 3, 0, 2, 0, 50, 1, 25, 0, 101, 3, 3, 1, 98, 5, 122, 122, 79, 79, 91, 90, 97, 62, 72, 1, 5, 1, 40, 3, 33, 2, 2, 29, 25, 2, 2, 127, 0, 0
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 1, 4, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 102, 124, 120, 105, 104, 105, 44, 2, 0, 1, 0, 61, 0, 31, 1, 94, 5, 5, 2, 95, 3, 123, 123, 109, 109, 131, 131, 106, 78, 65, 3, 3, 3, 34, 3, 28, 2, 2, 31, 31, 2, 1, 103, 0, 0
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 5, 0, 100, 76, 76, 113, 111, 139, 90, 8, 0, 5, 0, 48, 2, 13, 8, 99, 8, 8, 7, 105, 7, 111, 111, 78, 78, 68, 68, 70, 46, 30, 11, 7, 11, 17, 7, 24, 6, 6, 13, 13, 9, 1, 101, 0, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 3, 0, 102, 91, 91, 95, 95, 110, 76, 7, 0, 3, 0, 33, 4, 21, 1, 92, 0, 0, 0, 91, 1, 75, 75, 95, 94, 62, 62, 86, 61, 41, 0, 1, 0, 20, 4, 24, 3, 3, 21, 21, 3, 2, 103, 0, 0
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 92, 94, 94, 100, 99, 93, 55, 0, 0, 0, 0, 37, 0, 31, 0, 110, 0, 0, 0, 109, 0, 122, 120, 99, 98, 124, 124, 117, 65, 67, 0, 0, 0, 36, 1, 52, 0, 0, 31, 31, 0, 0, 92, 0, 0
