Input Number, Run_Number, Result@ 100, X2, X1, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 0, 38, 0, 0, 16, 24, 2, 10
INVAR-1, Run: 002, P, 0, 38, 0, 0, 18, 31, 4, 17
INVAR-1, Run: 003, P, 0, 38, 0, 1, 21, 44, 7, 30
INVAR-1, Run: 004, P, 0, 38, 0, 2, 30, 45, 16, 31
INVAR-1, Run: 005, P, 0, 38, 0, 0, 18, 24, 4, 10
INVAR-1, Run: 006, P, 0, 38, 0, 0, 17, 35, 3, 21
INVAR-1, Run: 007, P, 0, 38, 0, 1, 17, 26, 3, 12
INVAR-1, Run: 008, P, 0, 38, 0, 1, 18, 27, 4, 13
INVAR-1, Run: 009, P, 0, 38, 0, 2, 18, 34, 4, 20
INVAR-1, Run: 010, P, 0, 38, 0, 5, 44, 49, 30, 35
INVAR-1, Run: 011, P, 0, 38, 0, 3, 23, 38, 9, 24
INVAR-1, Run: 012, P, 0, 38, 0, 0, 22, 41, 8, 27
INVAR-1, Run: 013, P, 0, 38, 0, 1, 18, 31, 4, 17
INVAR-1, Run: 014, P, 0, 38, 0, 0, 25, 47, 11, 33
INVAR-1, Run: 015, P, 0, 38, 0, 0, 24, 36, 10, 22
INVAR-1, Run: 016, P, 0, 38, 0, 3, 20, 25, 6, 11
INVAR-1, Run: 017, P, 0, 38, 0, 1, 21, 40, 7, 26
INVAR-1, Run: 018, P, 0, 38, 0, 0, 20, 29, 6, 15
INVAR-1, Run: 019, P, 0, 38, 0, 1, 21, 37, 7, 23
INVAR-1, Run: 020, P, 0, 38, 0, 0, 14, 21, 0, 7
INVAR-1, Run: 021, P, 0, 38, 0, 0, 16, 33, 2, 19
INVAR-1, Run: 022, P, 0, 38, 0, 1, 24, 39, 10, 25
INVAR-1, Run: 023, P, 0, 38, 0, 0, 15, 31, 1, 17
INVAR-1, Run: 024, P, 0, 38, 0, 0, 20, 31, 6, 17
INVAR-1, Run: 025, P, 0, 38, 0, 0, 24, 33, 10, 19
INVAR-1, Run: 026, P, 0, 38, 0, 0, 14, 28, 0, 14
INVAR-1, Run: 027, P, 0, 38, 0, 0, 20, 33, 6, 19
INVAR-1, Run: 028, P, 0, 38, 0, 1, 21, 27, 7, 13
