Input Number, Run_Number, Result@ 100, ANuAOX1, ar, AGuAIX1, Leaderap, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, X1uABab, an, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 16, 8, 1, 0, 7, 2, 0, 15, 5, 19, 6, 2, 1, 16, 1, 1, 25, 6, 28, 8, 1, 1, 0, 8, 1, 0, 2, 1, 4, 2, 1, 0, 0, 12, 0, 3, 0, 4, 1, 1, 14, 4, 0, 4, 4, 2, 9, 3, 1, 1, 1, 1, 1, 2, 0, 15, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 0, 10, 1, 1, 7, 0, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 15, 9, 0, 0, 7, 1, 0, 1, 1, 3, 2, 2, 1, 15, 2, 0, 2, 0, 5, 1, 1, 1, 0, 8, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 1, 0, 2, 1, 1, 16, 1, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 5, 0, 0, 0, 0, 30, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 21, 1, 0, 2, 0, 0, 8, 5, 10, 1, 6, 1
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 8, 1, 0, 23, 11, 25, 12, 0, 1, 16, 2, 0, 1, 0, 4, 1, 1, 1, 0, 9, 0, 0, 3, 1, 4, 2, 1, 0, 0, 13, 0, 26, 9, 27, 10, 1, 17, 1, 0, 14, 4, 3, 16, 4, 1, 1, 1, 1, 1, 2, 1, 14, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 5, 20, 5, 0, 6, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 10, 5, 0, 0, 3, 2, 0, 11, 3, 14, 4, 0, 1, 10, 0, 0, 7, 1, 8, 2, 1, 1, 0, 5, 0, 0, 10, 4, 11, 5, 1, 0, 0, 1, 0, 10, 1, 11, 2, 1, 9, 1, 0, 20, 0, 7, 22, 8, 1, 1, 1, 1, 1, 2, 0, 2, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 4, 3, 1, 3, 0, 0, 14, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 3, 7, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 15, 4, 0, 0, 4, 0, 0, 1, 0, 2, 1, 0, 1, 15, 0, 0, 15, 0, 16, 1, 1, 1, 0, 7, 0, 0, 34, 4, 35, 5, 1, 1, 0, 1, 0, 7, 4, 8, 5, 1, 15, 0, 0, 25, 0, 4, 26, 5, 1, 1, 1, 1, 1, 4, 0, 2, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 8, 0, 0, 3, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 8, 1, 0, 1, 0, 3, 1, 1, 1, 17, 0, 1, 0, 0, 2, 2, 1, 1, 0, 8, 1, 0, 26, 3, 28, 4, 1, 0, 0, 7, 0, 8, 1, 9, 2, 1, 16, 2, 0, 33, 2, 10, 36, 11, 1, 1, 1, 1, 1, 4, 0, 9, 0, 21, 1, 0, 0, 0, 0, 0, 0, 0, 3, 5, 2, 7, 3, 1, 5, 0, 0, 33, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 7, 1, 1, 5, 0, 8, 2, 1, 1, 17, 1, 0, 20, 8, 22, 9, 1, 1, 0, 8, 1, 0, 23, 6, 25, 7, 1, 0, 0, 13, 0, 3, 0, 3, 0, 0, 18, 0, 0, 13, 1, 1, 14, 2, 1, 1, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 18, 7, 1, 1, 8, 1, 0, 9, 4, 13, 6, 0, 1, 16, 1, 1, 2, 0, 5, 2, 1, 1, 0, 9, 0, 0, 7, 2, 8, 3, 1, 0, 0, 12, 0, 5, 0, 6, 1, 1, 17, 1, 0, 4, 1, 3, 6, 4, 1, 1, 1, 1, 1, 4, 0, 13, 0, 32, 1, 0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 10, 1, 1, 5, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 16, 9, 0, 0, 8, 1, 0, 4, 1, 6, 2, 2, 1, 17, 1, 0, 3, 0, 5, 1, 1, 1, 0, 9, 0, 0, 18, 5, 19, 6, 1, 0, 0, 4, 0, 16, 5, 17, 6, 1, 16, 2, 0, 11, 1, 5, 14, 6, 1, 1, 1, 1, 1, 2, 0, 7, 0, 32, 1, 0, 0, 0, 0, 0, 0, 0, 2, 5, 2, 7, 3, 1, 7, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 16, 9, 0, 0, 7, 2, 0, 3, 1, 6, 2, 2, 1, 18, 0, 0, 14, 3, 15, 4, 1, 1, 0, 8, 0, 1, 15, 3, 17, 5, 1, 0, 0, 11, 0, 2, 1, 3, 2, 1, 15, 3, 0, 3, 2, 1, 7, 2, 1, 1, 1, 1, 1, 4, 0, 14, 0, 25, 3, 0, 0, 0, 0, 0, 0, 0, 3, 17, 1, 21, 2, 1, 5, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
