Input Number, Run_Number, Result@ 100, ANuAOX1, ar, AGuAIX1, Leaderap, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, X1uABab, an, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 9, 0, 0, 1, 0, 3, 1, 0, 1, 17, 1, 0, 23, 2, 25, 3, 1, 1, 0, 9, 0, 0, 6, 0, 7, 1, 1, 0, 0, 15, 0, 3, 2, 4, 3, 1, 16, 1, 1, 17, 3, 4, 20, 6, 1, 1, 1, 1, 1, 4, 0, 16, 0, 26, 3, 0, 0, 0, 0, 0, 0, 0, 4, 11, 2, 14, 2, 0, 5, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 1, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 2, 0, 9, 0, 0, 3, 0, 6, 1, 3, 1, 16, 2, 0, 2, 0, 5, 1, 1, 1, 0, 8, 1, 0, 30, 5, 32, 6, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 17, 1, 0, 3, 11, 1, 5, 2, 1, 1, 1, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, P, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 8, 1, 0, 1, 1, 3, 2, 2, 1, 15, 3, 0, 27, 2, 31, 3, 1, 1, 0, 9, 0, 0, 4, 0, 5, 1, 1, 0, 0, 26, 0, 3, 1, 4, 2, 1, 16, 0, 2, 10, 8, 3, 13, 6, 1, 1, 1, 1, 1, 5, 0, 29, 0, 32, 2, 0, 0, 0, 0, 0, 0, 0, 9, 5, 3, 8, 3, 0, 4, 0, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 7, 2, 0, 4, 0, 7, 1, 1, 1, 18, 0, 0, 4, 2, 5, 3, 1, 1, 0, 9, 0, 0, 7, 2, 8, 3, 1, 0, 0, 14, 0, 8, 0, 9, 1, 1, 14, 2, 2, 11, 3, 7, 16, 10, 1, 1, 1, 1, 1, 9, 0, 16, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 3, 1, 1, 0, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 8, 1, 0, 35, 12, 37, 13, 1, 1, 17, 1, 0, 0, 0, 2, 1, 1, 1, 0, 8, 1, 0, 16, 7, 18, 8, 1, 0, 0, 7, 0, 6, 1, 7, 2, 1, 15, 3, 0, 1, 1, 0, 5, 1, 1, 1, 1, 1, 1, 3, 0, 9, 0, 25, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5, 2, 9, 3, 1, 6, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, P, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 7, 1, 0, 1, 0, 3, 1, 0, 1, 17, 1, 0, 13, 4, 15, 5, 1, 1, 1, 9, 0, 0, 6, 0, 7, 1, 1, 0, 0, 6, 0, 16, 3, 17, 4, 1, 17, 1, 0, 36, 1, 7, 38, 8, 1, 1, 1, 1, 1, 0, 0, 8, 0, 0, 0, 0, 29, 0, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 24, 2, 0, 4, 1, 0, 3, 2, 7, 1, 3, 1
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 15, 9, 0, 0, 8, 1, 0, 26, 7, 28, 8, 2, 1, 17, 1, 0, 23, 3, 25, 4, 1, 1, 1, 8, 0, 1, 1, 0, 3, 2, 1, 0, 0, 1, 0, 3, 2, 4, 3, 1, 17, 1, 0, 7, 0, 1, 9, 2, 1, 1, 1, 1, 1, 4, 0, 5, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 6, 15, 7, 1, 5, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 17, 8, 1, 0, 6, 3, 0, 6, 1, 11, 2, 1, 1, 17, 1, 0, 31, 4, 33, 5, 1, 1, 0, 9, 0, 0, 4, 0, 5, 1, 1, 0, 0, 11, 0, 7, 0, 8, 1, 1, 16, 2, 0, 1, 4, 0, 4, 1, 1, 1, 1, 1, 1, 5, 0, 13, 0, 32, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 1, 1, 4, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 7, 2, 0, 8, 1, 11, 2, 1, 1, 18, 0, 0, 14, 4, 15, 5, 1, 1, 0, 8, 1, 0, 6, 1, 8, 2, 1, 0, 0, 9, 0, 3, 3, 4, 4, 1, 16, 2, 0, 7, 0, 2, 10, 3, 1, 1, 1, 1, 1, 7, 0, 11, 0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 1, 1, 2, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, P, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 17, 7, 0, 0, 6, 0, 0, 0, 0, 1, 1, 1, 1, 15, 1, 2, 4, 1, 8, 4, 1, 1, 0, 8, 1, 0, 0, 1, 2, 2, 1, 0, 0, 12, 0, 23, 4, 24, 5, 1, 17, 1, 0, 2, 2, 0, 4, 1, 1, 1, 1, 1, 1, 0, 0, 14, 0, 0, 0, 0, 32, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 22, 0, 0, 4, 2, 0, 0, 0, 3, 1, 1, 1
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 1, 0, 8, 0, 0, 5, 1, 7, 2, 2, 1, 15, 2, 1, 10, 3, 14, 5, 1, 1, 0, 9, 0, 0, 18, 6, 19, 7, 1, 0, 0, 8, 0, 24, 4, 24, 4, 0, 14, 4, 0, 21, 2, 4, 26, 5, 1, 1, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 14, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 17, 2, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 1, 17, 0, 0, 5, 0, 6, 1, 1, 1, 0, 8, 0, 0, 31, 0, 32, 1, 1, 1, 0, 14, 0, 10, 4, 11, 5, 1, 16, 1, 0, 4, 6, 1, 6, 2, 1, 1, 1, 1, 1, 5, 0, 16, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 7, 2, 1, 3, 1, 0, 3, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 9, 0, 1, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 8, 1, 0, 28, 4, 30, 5, 2, 1, 16, 2, 0, 16, 6, 19, 7, 1, 1, 0, 9, 0, 0, 7, 1, 8, 2, 1, 0, 0, 27, 0, 22, 8, 22, 8, 0, 15, 3, 0, 26, 5, 4, 29, 4, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 1, 0, 8, 1, 0, 2, 1, 5, 2, 2, 1, 18, 0, 0, 6, 0, 7, 1, 1, 1, 0, 8, 1, 0, 6, 3, 8, 4, 1, 0, 0, 35, 0, 7, 1, 8, 2, 1, 17, 1, 0, 17, 3, 3, 18, 3, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 16, 9, 0, 0, 8, 1, 0, 10, 5, 12, 6, 2, 1, 17, 1, 0, 18, 3, 20, 4, 1, 1, 0, 9, 0, 0, 2, 1, 3, 2, 1, 0, 0, 3, 0, 3, 3, 4, 4, 1, 16, 2, 0, 5, 1, 1, 8, 2, 1, 1, 1, 1, 1, 6, 0, 6, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 0, 10, 1, 1, 3, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 026, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 7, 2, 0, 49, 8, 52, 9, 0, 1, 15, 3, 0, 17, 6, 21, 7, 1, 1, 0, 9, 0, 0, 11, 1, 12, 2, 1, 0, 0, 18, 0, 6, 1, 7, 2, 1, 18, 0, 0, 34, 5, 5, 34, 5, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 1, 18, 18, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 2, 0, 7, 2, 0, 12, 4, 17, 5, 4, 1, 18, 0, 0, 33, 6, 33, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
