Input Number, Run_Number, Result@ 100, CO, X1, A, B, C, PO, D, Y, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 59, 18, 111, 9, 9, 111, 9, 3, 5, 9, 9, 18, 58, 29
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 84, 18, 218, 8, 8, 218, 9, 7, 1, 9, 9, 18, 300, 150
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 5, 18, 124, 13, 11, 124, 9, 5, 3, 8, 9, 18, 194, 97
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 16, 18, 100, 8, 6, 100, 9, 4, 4, 8, 9, 18, 260, 130
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 12, 18, 55, 6, 6, 55, 9, 6, 2, 9, 9, 18, 84, 42
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 5, 18, 43, 6, 4, 43, 9, 5, 3, 8, 9, 18, 74, 37
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 25, 18, 167, 6, 6, 167, 9, 7, 1, 9, 9, 18, 140, 70
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 34, 18, 71, 10, 10, 71, 9, 5, 3, 9, 9, 18, 96, 48
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 21, 18, 64, 9, 9, 64, 9, 5, 3, 9, 9, 18, 60, 30
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 17, 18, 70, 13, 11, 70, 9, 2, 6, 8, 9, 18, 206, 103
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 8, 18, 73, 4, 4, 73, 9, 4, 4, 9, 9, 18, 100, 50
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 74, 18, 125, 4, 4, 125, 9, 6, 2, 9, 9, 18, 108, 54
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 14, 18, 57, 4, 2, 57, 9, 6, 2, 8, 9, 18, 94, 47
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 33, 18, 135, 11, 11, 135, 9, 6, 2, 9, 9, 18, 142, 71
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 15, 18, 80, 5, 5, 80, 9, 5, 3, 9, 9, 18, 158, 79
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 46, 18, 161, 10, 10, 161, 9, 7, 1, 9, 9, 18, 146, 73
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 7, 18, 35, 7, 5, 35, 9, 6, 2, 8, 9, 18, 262, 131
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 9, 18, 87, 7, 7, 87, 9, 3, 5, 9, 9, 18, 70, 35
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 71, 18, 112, 13, 11, 112, 9, 3, 5, 8, 9, 18, 40, 20
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 30, 18, 122, 7, 5, 122, 9, 4, 4, 8, 9, 18, 144, 72
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 7, 18, 64, 3, 1, 64, 9, 7, 1, 8, 9, 18, 72, 36
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 12, 18, 49, 9, 7, 49, 9, 6, 2, 8, 9, 18, 84, 42
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 44, 18, 124, 10, 10, 124, 9, 5, 3, 9, 9, 18, 64, 32
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 19, 18, 87, 7, 5, 87, 9, 7, 1, 8, 9, 18, 164, 82
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 31, 18, 131, 5, 5, 131, 9, 6, 2, 9, 9, 18, 116, 58
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 67, 18, 126, 7, 7, 126, 9, 6, 2, 9, 9, 18, 82, 41
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 69, 18, 126, 10, 10, 126, 9, 6, 2, 9, 9, 18, 276, 138
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 49, 18, 123, 8, 6, 123, 9, 7, 1, 8, 9, 18, 198, 99
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 19, 18, 86, 8, 8, 86, 9, 4, 4, 9, 9, 18, 624, 312
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 10, 18, 75, 14, 12, 75, 9, 3, 5, 8, 9, 18, 70, 35
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 63, 18, 137, 5, 5, 137, 9, 4, 4, 9, 9, 18, 64, 32
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 68, 18, 108, 4, 4, 108, 9, 3, 5, 9, 9, 18, 136, 68
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 11, 18, 72, 2, 2, 72, 9, 3, 5, 9, 9, 18, 154, 77
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 66, 18, 128, 6, 6, 128, 9, 7, 1, 9, 9, 18, 94, 47
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 25, 18, 73, 5, 3, 73, 9, 6, 2, 8, 9, 18, 150, 75
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 39, 18, 97, 5, 5, 97, 9, 8, 0, 9, 9, 18, 124, 62
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 10, 18, 81, 6, 6, 81, 9, 4, 4, 9, 9, 18, 250, 125
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 11, 18, 155, 2, 2, 155, 9, 5, 3, 9, 9, 18, 122, 61
