Input Number, Run_Number, Result@ 1000, A, B, H, C, T1, L4, T4, L1, L5, Y, T2, T3, T5, T6, R, U, L2, D, L3
INVAR-1, Run: 001, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 1, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 002, F, 0, 10, 0, 0, 1, 0, 1, 0, 0, 107, 0, 0, 0, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 003, F, 0, 10, 0, 0, 1, 0, 3, 0, 0, 107, 0, 1, 1, 0, 1, 6, 0, 44, 0
INVAR-1, Run: 004, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 109, 0, 0, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 005, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 1, 1, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 006, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 2, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 007, F, 0, 0, 0, 10, 0, 0, 1, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 008, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 3, 1, 1, 0, 1, 6, 0, 45, 0
INVAR-1, Run: 009, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 110, 0, 1, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 010, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 1, 0, 1, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 011, F, 0, 10, 0, 0, 3, 0, 1, 0, 0, 109, 0, 1, 0, 1, 1, 6, 0, 44, 0
INVAR-1, Run: 012, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 1, 0, 1, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 013, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 1, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 014, F, 0, 10, 0, 0, 2, 0, 0, 0, 0, 109, 0, 1, 0, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 015, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 1, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 016, F, 10, 0, 0, 0, 2, 0, 0, 0, 0, 103, 1, 1, 0, 0, 1, 6, 0, 46, 0
INVAR-1, Run: 017, F, 0, 0, 0, 10, 0, 0, 0, 0, 0, 119, 1, 0, 0, 1, 1, 6, 0, 48, 0
INVAR-1, Run: 018, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 019, F, 0, 10, 0, 0, 1, 0, 1, 0, 0, 108, 0, 0, 0, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 020, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 1, 1, 6, 0, 48, 0
INVAR-1, Run: 021, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 109, 0, 0, 1, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 022, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 1, 0, 0, 1, 1, 6, 0, 48, 0
INVAR-1, Run: 023, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 1, 0, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 024, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 50, 0
INVAR-1, Run: 025, F, 0, 10, 0, 0, 1, 0, 1, 0, 0, 107, 0, 0, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 026, F, 10, 0, 0, 0, 1, 0, 0, 0, 0, 106, 0, 0, 0, 1, 1, 6, 0, 48, 0
INVAR-1, Run: 027, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 3, 0, 0, 1, 1, 6, 0, 45, 0
INVAR-1, Run: 028, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 107, 2, 1, 0, 1, 1, 6, 0, 45, 0
INVAR-1, Run: 029, F, 10, 0, 0, 0, 1, 0, 2, 0, 0, 105, 1, 0, 0, 0, 1, 6, 0, 46, 0
INVAR-1, Run: 030, P, 10, 0, 0, 0, 1, 0, 0, 0, 0, 100, 0, 1, 0, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 031, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 0, 0, 2, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 032, F, 10, 0, 0, 0, 0, 0, 1, 0, 0, 111, 1, 1, 0, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 033, F, 0, 10, 0, 0, 1, 0, 2, 0, 0, 106, 1, 1, 0, 1, 1, 6, 0, 44, 0
INVAR-1, Run: 034, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 0, 4, 0, 1, 1, 6, 0, 45, 0
INVAR-1, Run: 035, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 1, 0, 0, 1, 1, 6, 0, 48, 0
INVAR-1, Run: 036, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 106, 0, 1, 1, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 037, F, 0, 10, 0, 0, 0, 0, 2, 0, 0, 107, 1, 0, 0, 2, 1, 6, 0, 45, 0
INVAR-1, Run: 038, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 50, 0
INVAR-1, Run: 039, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 0, 0, 1, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 040, F, 0, 10, 0, 0, 2, 0, 1, 0, 0, 107, 1, 0, 0, 0, 1, 6, 0, 46, 0
INVAR-1, Run: 041, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 0, 1, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 042, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 108, 0, 1, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 043, F, 0, 10, 0, 0, 2, 0, 1, 0, 0, 109, 1, 0, 0, 0, 1, 6, 0, 46, 0
INVAR-1, Run: 044, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 1, 6, 0, 50, 0
INVAR-1, Run: 045, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 1, 0, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 046, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 047, F, 0, 10, 0, 0, 2, 0, 0, 0, 0, 106, 1, 1, 1, 0, 1, 6, 0, 45, 0
INVAR-1, Run: 048, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 0, 1, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 049, F, 0, 10, 0, 0, 2, 0, 2, 0, 0, 109, 1, 1, 0, 0, 1, 6, 0, 44, 0
INVAR-1, Run: 050, F, 0, 10, 0, 0, 0, 0, 1, 0, 0, 108, 2, 1, 0, 0, 1, 6, 0, 46, 0
INVAR-1, Run: 051, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 1, 1, 6, 0, 49, 0
INVAR-1, Run: 052, F, 0, 0, 0, 10, 2, 0, 0, 0, 0, 108, 1, 2, 0, 0, 1, 6, 0, 45, 0
INVAR-1, Run: 053, F, 0, 10, 0, 0, 1, 0, 2, 0, 0, 108, 0, 0, 1, 1, 1, 6, 0, 45, 0
INVAR-1, Run: 054, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 108, 0, 0, 2, 0, 1, 6, 0, 47, 0
INVAR-1, Run: 055, F, 0, 10, 0, 0, 1, 0, 1, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 056, P, 10, 0, 0, 0, 0, 0, 2, 0, 0, 100, 2, 0, 1, 0, 1, 6, 0, 45, 0
INVAR-1, Run: 057, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 108, 4, 0, 0, 1, 1, 6, 0, 44, 0
INVAR-1, Run: 058, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 106, 0, 1, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 059, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 0, 3, 0, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 060, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 1, 1, 0, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 061, F, 10, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 1, 0, 1, 1, 6, 0, 48, 0
INVAR-1, Run: 062, F, 0, 10, 0, 0, 1, 0, 2, 0, 0, 107, 0, 0, 0, 0, 1, 6, 0, 47, 0
INVAR-1, Run: 063, F, 0, 10, 0, 0, 2, 0, 0, 0, 0, 107, 0, 0, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 064, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 106, 1, 0, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 065, F, 0, 10, 0, 0, 1, 0, 2, 0, 0, 109, 1, 1, 2, 1, 1, 6, 0, 42, 0
INVAR-1, Run: 066, F, 0, 0, 0, 10, 0, 0, 0, 0, 0, 106, 1, 0, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 067, F, 0, 10, 0, 0, 2, 0, 1, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 47, 0
INVAR-1, Run: 068, F, 0, 10, 0, 0, 1, 0, 1, 0, 0, 104, 0, 0, 0, 1, 1, 6, 0, 47, 0
INVAR-1, Run: 069, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 2, 1, 6, 0, 48, 0
INVAR-1, Run: 070, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 1, 6, 0, 50, 0
INVAR-1, Run: 071, F, 0, 10, 0, 0, 2, 0, 0, 0, 0, 108, 2, 0, 1, 1, 1, 6, 0, 44, 0
INVAR-1, Run: 072, F, 0, 10, 0, 0, 2, 0, 0, 0, 0, 109, 0, 0, 0, 2, 1, 6, 0, 46, 0
INVAR-1, Run: 073, F, 0, 0, 0, 10, 3, 0, 0, 0, 0, 107, 0, 0, 0, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 074, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 2, 0, 1, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 075, F, 0, 10, 0, 0, 1, 0, 1, 0, 0, 108, 0, 0, 0, 0, 1, 6, 0, 48, 0
INVAR-1, Run: 076, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 2, 1, 6, 0, 47, 0
INVAR-1, Run: 077, F, 0, 10, 0, 0, 0, 0, 2, 0, 0, 108, 0, 0, 1, 2, 1, 6, 0, 45, 0
INVAR-1, Run: 078, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 1, 0, 0, 0, 1, 6, 0, 49, 0
INVAR-1, Run: 079, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 1, 6, 0, 50, 0
INVAR-1, Run: 080, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 109, 1, 0, 0, 1, 1, 6, 0, 48, 0
INVAR-1, Run: 081, F, 0, 10, 0, 0, 0, 0, 0, 0, 0, 107, 1, 0, 0, 0, 1, 6, 0, 49, 0
