Input Number, Run_Number, Result@ 100, B, D, X1, H, M, PO, CE, Y, CO, PE, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 12, 150, 9, 8, 0, 9, 18, 27, 22, 150
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 23, 95, 9, 7, 1, 9, 18, 27, 37, 95
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 22, 22, 0, 1, 54, 13, 18, 38, 207, 9, 6, 2, 9, 18, 27, 60, 207
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 15, 68, 9, 5, 3, 9, 18, 27, 26, 68
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 19, 125, 9, 5, 3, 9, 18, 27, 29, 125
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 10, 76, 9, 6, 2, 9, 18, 27, 23, 76
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 22, 76, 9, 5, 3, 9, 18, 27, 33, 76
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 33, 115, 9, 4, 4, 9, 18, 27, 46, 115
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 13, 115, 9, 5, 3, 9, 18, 27, 22, 115
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 27, 113, 9, 4, 4, 9, 18, 27, 42, 113
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 12, 89, 9, 8, 0, 9, 18, 27, 22, 89
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 12, 73, 9, 6, 2, 9, 18, 27, 21, 73
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 24, 91, 9, 8, 0, 9, 18, 27, 35, 91
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 19, 89, 9, 5, 3, 9, 18, 27, 34, 89
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 23, 89, 9, 4, 4, 9, 18, 27, 35, 89
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 16, 103, 9, 5, 3, 9, 18, 27, 26, 103
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 16, 104, 9, 5, 3, 9, 18, 27, 29, 104
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 10, 49, 9, 5, 3, 9, 18, 27, 20, 49
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 16, 16, 0, 1, 54, 7, 18, 24, 118, 9, 5, 3, 9, 18, 27, 40, 118
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 25, 102, 9, 5, 3, 9, 18, 27, 37, 102
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 19, 113, 9, 6, 2, 9, 18, 27, 30, 113
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 13, 148, 9, 7, 1, 9, 18, 27, 24, 148
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 20, 151, 9, 7, 1, 9, 18, 27, 32, 151
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 12, 85, 9, 4, 4, 9, 18, 27, 22, 85
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 25, 119, 9, 8, 0, 9, 18, 27, 35, 119
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 8, 77, 9, 8, 0, 9, 18, 27, 18, 77
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 25, 97, 9, 5, 3, 9, 18, 27, 40, 97
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 17, 83, 9, 3, 5, 9, 18, 27, 30, 83
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 26, 163, 9, 6, 2, 9, 18, 27, 38, 163
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 19, 111, 9, 2, 6, 9, 18, 27, 32, 111
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 13, 84, 9, 7, 1, 9, 18, 27, 27, 84
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 8, 84, 9, 6, 2, 9, 18, 27, 19, 84
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 17, 76, 9, 5, 3, 9, 18, 27, 31, 76
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 16, 91, 9, 8, 0, 9, 18, 27, 28, 91
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 28, 291, 9, 7, 1, 9, 18, 27, 41, 291
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 14, 85, 9, 5, 3, 9, 18, 27, 24, 85
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 17, 131, 9, 4, 4, 9, 18, 27, 30, 131
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 33, 85, 9, 6, 2, 9, 18, 27, 45, 85
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 18, 18, 0, 1, 54, 9, 18, 16, 83, 9, 5, 3, 9, 18, 27, 34, 83
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 40, 202, 9, 7, 1, 9, 18, 27, 55, 202
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 22, 152, 9, 4, 4, 9, 18, 27, 33, 152
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 36, 187, 9, 3, 5, 9, 18, 27, 47, 187
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 15, 94, 9, 4, 4, 9, 18, 27, 25, 94
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 14, 84, 9, 4, 4, 9, 18, 27, 24, 84
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 5, 34, 9, 7, 1, 9, 18, 27, 17, 34
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 20, 186, 9, 6, 2, 9, 18, 27, 30, 186
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 28, 146, 9, 5, 3, 9, 18, 27, 41, 146
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 11, 25, 9, 2, 6, 9, 18, 27, 24, 25
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 10, 76, 9, 5, 3, 9, 18, 27, 19, 76
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 16, 16, 0, 1, 54, 7, 18, 15, 120, 9, 8, 0, 9, 18, 27, 31, 120
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 15, 80, 9, 4, 4, 9, 18, 27, 24, 80
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 13, 106, 9, 4, 4, 9, 18, 27, 23, 106
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 23, 58, 9, 5, 3, 9, 18, 27, 37, 58
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 12, 194, 9, 7, 1, 9, 18, 27, 27, 194
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 16, 96, 9, 3, 5, 9, 18, 27, 30, 96
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 9, 128, 9, 7, 1, 9, 18, 27, 21, 128
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 7, 54, 9, 4, 4, 9, 18, 27, 18, 54
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 22, 97, 9, 5, 3, 9, 18, 27, 33, 97
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 37, 215, 9, 4, 4, 9, 18, 27, 49, 215
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 19, 177, 9, 6, 2, 9, 18, 27, 30, 177
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 30, 97, 9, 2, 6, 9, 18, 27, 43, 97
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 4, 53, 9, 4, 4, 9, 18, 27, 15, 53
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 843, 4676, 100, 59, 40, 100, 200, 300, 948, 4676
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 703, 4782, 100, 61, 38, 100, 200, 300, 808, 4782
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 891, 4476, 100, 67, 32, 100, 200, 300, 994, 4476
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600, 8, 200, 876, 4438, 100, 56, 43, 100, 200, 300, 984, 4438
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 705, 4872, 100, 74, 25, 100, 200, 300, 807, 4872
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 886, 5889, 100, 65, 34, 100, 200, 300, 991, 5889
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 760, 4717, 100, 69, 30, 100, 200, 300, 862, 4717
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 107, 107, 0, 1, 600, 7, 200, 780, 3937, 100, 53, 46, 100, 200, 300, 887, 3937
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 714, 4438, 100, 62, 37, 100, 200, 300, 820, 4438
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 945, 6324, 100, 70, 29, 100, 200, 300, 1047, 6324
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 841, 5187, 100, 73, 26, 100, 200, 300, 947, 5187
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 811, 4631, 100, 67, 32, 100, 200, 300, 915, 4631
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 591, 3662, 100, 59, 40, 100, 200, 300, 695, 3662
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 790, 5113, 100, 53, 46, 100, 200, 300, 894, 5113
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 759, 4078, 100, 62, 37, 100, 200, 300, 864, 4078
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 900, 5888, 100, 56, 43, 100, 200, 300, 1003, 5888
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 742, 5101, 100, 67, 32, 100, 200, 300, 848, 5101
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600, 1, 200, 891, 4533, 100, 66, 33, 100, 200, 300, 992, 4533
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 798, 4637, 100, 65, 34, 100, 200, 300, 902, 4637
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 946, 5018, 100, 57, 42, 100, 200, 300, 1048, 5018
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600, 9, 200, 1146, 5461, 100, 63, 36, 100, 200, 300, 1255, 5461
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600, 1, 200, 924, 5548, 100, 61, 38, 100, 200, 300, 1025, 5548
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 637, 4345, 100, 70, 29, 100, 200, 300, 742, 4345
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600, 8, 200, 867, 4309, 100, 52, 47, 100, 200, 300, 975, 4309
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 1091, 5121, 100, 65, 34, 100, 200, 300, 1195, 5121
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 759, 5270, 100, 66, 33, 100, 200, 300, 861, 5270
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 826, 4396, 100, 59, 40, 100, 200, 300, 929, 4396
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 107, 107, 0, 1, 600, 7, 200, 977, 7269, 100, 61, 38, 100, 200, 300, 1084, 7269
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 803, 5252, 100, 56, 43, 100, 200, 300, 906, 5252
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 834, 4248, 100, 61, 38, 100, 200, 300, 938, 4248
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 112, 112, 0, 1, 600, 12, 200, 958, 6530, 100, 74, 25, 100, 200, 300, 1070, 6530
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 798, 3691, 100, 63, 36, 100, 200, 300, 903, 3691
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 810, 5182, 100, 55, 44, 100, 200, 300, 913, 5182
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 1036, 5468, 100, 61, 38, 100, 200, 300, 1140, 5468
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 755, 4313, 100, 60, 39, 100, 200, 300, 859, 4313
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 660, 3551, 100, 70, 29, 100, 200, 300, 762, 3551
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 111, 111, 0, 1, 600, 11, 200, 800, 4178, 100, 70, 29, 100, 200, 300, 911, 4178
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600, 8, 200, 928, 4753, 100, 57, 42, 100, 200, 300, 1036, 4753
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 811, 4432, 100, 62, 37, 100, 200, 300, 917, 4432
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 801, 5390, 100, 63, 36, 100, 200, 300, 907, 5390
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 1086, 5997, 100, 67, 32, 100, 200, 300, 1191, 5997
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 874, 5389, 100, 72, 27, 100, 200, 300, 979, 5389
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 1153, 6035, 100, 64, 35, 100, 200, 300, 1259, 6035
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 1059, 4630, 100, 53, 46, 100, 200, 300, 1164, 4630
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600, 9, 200, 889, 5448, 100, 68, 31, 100, 200, 300, 998, 5448
INVAR-10, Run: 046, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 774, 4531, 100, 58, 41, 100, 200, 300, 878, 4531
INVAR-10, Run: 047, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600, 8, 200, 901, 4685, 100, 62, 37, 100, 200, 300, 1009, 4685
INVAR-10, Run: 048, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600, 8, 200, 1041, 6138, 100, 52, 47, 100, 200, 300, 1149, 6138
INVAR-10, Run: 049, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 800, 4439, 100, 54, 45, 100, 200, 300, 904, 4439
INVAR-10, Run: 050, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600, 1, 200, 914, 5487, 100, 54, 45, 100, 200, 300, 1015, 5487
INVAR-10, Run: 051, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 837, 4397, 100, 61, 38, 100, 200, 300, 939, 4397
INVAR-10, Run: 052, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 823, 4740, 100, 60, 39, 100, 200, 300, 929, 4740
INVAR-10, Run: 053, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600, 4, 200, 788, 4356, 100, 70, 29, 100, 200, 300, 892, 4356
INVAR-10, Run: 054, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600, 5, 200, 759, 4559, 100, 68, 31, 100, 200, 300, 864, 4559
INVAR-10, Run: 055, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 576, 4679, 100, 66, 33, 100, 200, 300, 679, 4679
INVAR-10, Run: 056, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 718, 4487, 100, 81, 18, 100, 200, 300, 821, 4487
INVAR-10, Run: 057, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600, 3, 200, 881, 5806, 100, 55, 44, 100, 200, 300, 984, 5806
INVAR-10, Run: 058, P, 0, 0, 0, 0, 0, 0, 110, 110, 0, 1, 600, 10, 200, 1281, 6625, 100, 58, 41, 100, 200, 300, 1391, 6625
INVAR-10, Run: 059, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600, 2, 200, 874, 4838, 100, 60, 39, 100, 200, 300, 976, 4838
INVAR-10, Run: 060, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600, 6, 200, 633, 4014, 100, 54, 45, 100, 200, 300, 739, 4014
