Input Number, Run_Number, Result@ 100, Y, A, X1, B, C, PO, D, CO, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0, 11, 18, 46, 10, 9, 36, 9, 4, 4, 14, 9, 18, 250, 125
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 0, 48, 6, 1, 0, 12, 0, 6, 18, 55, 2, 2, 49, 9, 5, 3, 12, 9, 18, 352, 176
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 25, 0, 32, 18, 197, 13, 13, 165, 9, 6, 2, 25, 9, 18, 100, 50
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 0, 44, 10, 1, 4, 14, 0, 14, 18, 73, 14, 10, 63, 9, 5, 3, 14, 9, 18, 112, 56
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0, 9, 18, 57, 3, 2, 49, 9, 6, 2, 13, 9, 18, 130, 65
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 0, 24, 30, 1, 2, 24, 0, 32, 18, 142, 7, 5, 112, 9, 5, 3, 24, 9, 18, 102, 51
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0, 9, 18, 95, 15, 14, 87, 9, 5, 3, 13, 9, 18, 62, 31
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0, 11, 18, 102, 6, 5, 92, 9, 7, 1, 14, 9, 18, 52, 26
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 50, 4, 1, 3, 11, 0, 7, 18, 71, 12, 9, 67, 9, 2, 6, 11, 9, 18, 78, 39
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 15, 0, 12, 18, 110, 10, 10, 98, 9, 4, 4, 15, 9, 18, 54, 27
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 12, 42, 1, 0, 30, 0, 42, 18, 90, 5, 5, 48, 9, 8, 0, 30, 9, 18, 88, 44
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 0, 38, 16, 1, 4, 17, 0, 20, 18, 160, 13, 9, 144, 9, 6, 2, 17, 9, 18, 116, 58
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0, 7, 18, 78, 4, 3, 72, 9, 8, 0, 12, 9, 18, 304, 152
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 0, 34, 20, 1, 3, 19, 0, 23, 18, 105, 6, 3, 85, 9, 6, 2, 19, 9, 18, 44, 22
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 0, 4, 50, 1, 1, 34, 0, 51, 18, 131, 9, 8, 81, 9, 5, 3, 34, 9, 18, 40, 20
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 0, 30, 24, 1, 1, 21, 0, 25, 18, 113, 7, 6, 89, 9, 5, 3, 21, 9, 18, 182, 91
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0, 9, 18, 57, 8, 7, 49, 9, 6, 2, 13, 9, 18, 98, 49
