Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 46, 7, 7, 46, 9, 7, 1, 18, 9, 18, 44, 22
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 46, 8, 8, 46, 9, 5, 3, 18, 9, 18, 64, 32
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 68, 11, 11, 68, 9, 6, 2, 18, 9, 18, 14, 7
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 52, 7, 7, 52, 9, 4, 4, 18, 9, 18, 52, 26
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 32, 1, 1, 32, 9, 6, 2, 18, 9, 18, 114, 57
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 71, 3, 3, 71, 9, 6, 2, 18, 9, 18, 70, 35
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 26, 9, 9, 26, 9, 6, 2, 18, 9, 18, 46, 23
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 23, 7, 7, 23, 9, 5, 3, 18, 9, 18, 10, 5
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 44, 8, 8, 44, 9, 2, 6, 18, 9, 18, 34, 17
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 69, 2, 2, 69, 9, 6, 2, 18, 9, 18, 36, 18
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 52, 3, 3, 52, 9, 6, 2, 18, 9, 18, 56, 28
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 34, 4, 4, 34, 9, 4, 4, 18, 9, 18, 50, 25
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 78, 4, 4, 78, 9, 5, 3, 18, 9, 18, 72, 36
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 35, 5, 5, 35, 9, 4, 4, 18, 9, 18, 76, 38
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 34, 6, 6, 34, 9, 6, 2, 18, 9, 18, 28, 14
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 43, 8, 8, 43, 9, 4, 4, 18, 9, 18, 84, 42
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 34, 11, 11, 34, 9, 5, 3, 18, 9, 18, 28, 14
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 46, 5, 5, 46, 9, 6, 2, 18, 9, 18, 64, 32
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 73, 5, 5, 73, 9, 7, 1, 18, 9, 18, 120, 60
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 108, 5, 5, 108, 9, 8, 0, 18, 9, 18, 76, 38
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 10, 13, 13, 10, 9, 6, 2, 18, 9, 18, 56, 28
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 59, 3, 3, 59, 9, 6, 2, 18, 9, 18, 118, 59
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 81, 1, 1, 81, 9, 4, 4, 18, 9, 18, 22, 11
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 72, 5, 5, 72, 9, 6, 2, 18, 9, 18, 28, 14
