Input Number, Run_Number, Result@ 100, ab, ar, Leaderag, ah, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderah, ao, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 18, 8, 1, 0, 9, 0, 0, 6, 2, 8, 3, 0, 1, 16, 2, 0, 7, 0, 10, 1, 1, 1, 0, 9, 0, 0, 5, 2, 6, 3, 1, 0, 0, 9, 0, 1, 0, 2, 1, 1, 15, 3, 0, 7, 0, 2, 11, 3, 1, 1, 1, 1, 1, 3, 0, 10, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 1, 14, 1, 16, 2, 1, 6, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 8, 1, 0, 15, 5, 17, 6, 1, 1, 15, 3, 0, 15, 3, 19, 4, 1, 1, 0, 9, 0, 0, 31, 6, 31, 6, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 3, 0, 4, 1, 1, 1, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 8, 1, 0, 29, 8, 31, 9, 1, 1, 15, 3, 0, 13, 6, 17, 7, 1, 1, 0, 9, 0, 0, 19, 6, 20, 7, 1, 0, 0, 8, 0, 18, 5, 18, 5, 0, 15, 3, 0, 10, 3, 1, 14, 2, 1, 1, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 0, 1, 1, 2, 1, 1, 13, 5, 0, 6, 0, 12, 1, 1, 1, 0, 7, 2, 0, 6, 2, 9, 3, 1, 0, 0, 2, 0, 47, 10, 47, 10, 0, 14, 4, 0, 20, 3, 4, 25, 5, 1, 1, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 16, 3, 17, 4, 1, 1, 15, 3, 0, 2, 0, 6, 1, 1, 1, 0, 9, 0, 0, 8, 3, 9, 4, 1, 0, 0, 19, 0, 33, 6, 34, 7, 1, 17, 1, 0, 3, 6, 1, 5, 2, 1, 1, 1, 1, 1, 5, 0, 21, 0, 20, 2, 0, 0, 0, 0, 0, 0, 0, 7, 4, 1, 6, 1, 0, 4, 0, 0, 33, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 9, 0, 0, 21, 2, 22, 3, 2, 1, 16, 2, 0, 28, 6, 31, 7, 1, 1, 0, 9, 0, 0, 28, 6, 28, 6, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 18, 0, 0, 27, 0, 7, 28, 8, 1, 1, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 18, 8, 1, 0, 9, 0, 0, 40, 10, 42, 11, 0, 1, 18, 0, 0, 3, 1, 4, 2, 1, 1, 0, 7, 2, 0, 6, 1, 9, 2, 1, 0, 0, 8, 0, 7, 3, 8, 4, 1, 13, 2, 0, 0, 2, 0, 3, 1, 1, 1, 1, 1, 1, 4, 0, 9, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 4, 3, 1, 5, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 1, 0, 7, 0, 0, 0, 0, 2, 1, 1, 1, 18, 0, 0, 14, 5, 15, 6, 1, 1, 1, 8, 1, 0, 8, 2, 10, 3, 1, 0, 0, 6, 0, 34, 8, 34, 8, 0, 17, 1, 0, 3, 0, 5, 5, 6, 1, 1, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 14, 8, 1, 0, 9, 0, 0, 7, 2, 9, 3, 4, 1, 18, 0, 0, 11, 0, 12, 1, 1, 1, 0, 9, 0, 0, 11, 2, 12, 3, 1, 0, 0, 0, 0, 10, 2, 11, 3, 1, 17, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 1, 1, 2, 1, 5, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 2, 1, 6, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 18, 8, 0, 1, 7, 2, 0, 19, 3, 23, 5, 0, 1, 17, 1, 0, 7, 2, 9, 3, 1, 1, 0, 8, 1, 0, 11, 4, 13, 5, 1, 0, 0, 4, 0, 10, 2, 11, 3, 1, 14, 4, 0, 18, 1, 5, 23, 6, 1, 1, 1, 1, 1, 6, 0, 5, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 2, 8, 1, 10, 2, 1, 3, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
