Input Number, Run_Number, Result@ 100, ab, ar, Leaderag, ah, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderah, ao, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 8, 1, 0, 2, 0, 4, 1, 0, 1, 16, 2, 0, 2, 1, 5, 2, 1, 1, 0, 9, 0, 0, 4, 1, 5, 2, 1, 0, 0, 29, 0, 12, 2, 13, 3, 1, 18, 0, 0, 21, 8, 2, 22, 3, 1, 1, 1, 1, 1, 2, 1, 30, 0, 19, 1, 0, 0, 0, 0, 0, 0, 0, 9, 6, 0, 8, 0, 0, 6, 0, 0, 35, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 15, 8, 1, 0, 9, 0, 0, 8, 1, 10, 2, 3, 1, 18, 0, 0, 2, 0, 3, 1, 1, 1, 0, 9, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0, 2, 1, 3, 2, 1, 16, 2, 0, 15, 3, 2, 18, 3, 1, 1, 1, 1, 1, 3, 1, 7, 0, 30, 1, 0, 0, 0, 0, 0, 0, 0, 4, 7, 6, 10, 7, 1, 5, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 0, 15, 8, 1, 0, 7, 1, 0, 14, 1, 17, 2, 1, 1, 16, 0, 1, 12, 4, 14, 6, 1, 1, 1, 8, 0, 0, 5, 0, 6, 1, 1, 1, 0, 1, 0, 37, 9, 38, 10, 1, 15, 1, 1, 14, 0, 2, 17, 4, 1, 1, 1, 1, 1, 0, 0, 4, 0, 0, 0, 0, 26, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 20, 0, 0, 3, 0, 0, 0, 0, 1, 1, 1, 1
INVAR-1, Run: 014, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 9, 0, 0, 1, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 8, 0, 1, 6, 2, 8, 4, 1, 1, 16, 2, 0, 22, 10, 25, 11, 1, 1, 0, 9, 0, 0, 1, 1, 2, 2, 1, 0, 0, 28, 0, 12, 3, 12, 3, 0, 14, 4, 0, 12, 9, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 1, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 9, 0, 0, 27, 10, 28, 11, 0, 1, 17, 1, 0, 7, 1, 9, 2, 1, 1, 0, 9, 0, 0, 16, 7, 17, 8, 1, 0, 0, 15, 0, 28, 5, 29, 5, 0, 16, 2, 0, 12, 3, 0, 15, 1, 1, 1, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 8, 1, 0, 18, 5, 21, 6, 0, 1, 15, 2, 0, 1, 0, 4, 1, 1, 1, 0, 8, 0, 0, 18, 6, 19, 7, 1, 1, 0, 15, 0, 11, 2, 12, 3, 1, 16, 1, 0, 5, 3, 2, 7, 3, 1, 1, 1, 1, 1, 4, 0, 16, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 0, 8, 0, 0, 4, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, P, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 0, 0, 7, 1, 0, 1, 0, 3, 1, 2, 1, 17, 1, 0, 22, 5, 24, 6, 1, 1, 1, 8, 1, 0, 27, 6, 28, 6, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 1, 0, 28, 5, 4, 29, 4, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 15, 9, 0, 0, 6, 3, 0, 6, 0, 10, 1, 3, 1, 15, 2, 1, 15, 5, 19, 7, 1, 1, 0, 9, 0, 0, 0, 0, 1, 1, 1, 0, 0, 6, 0, 4, 1, 5, 2, 1, 17, 1, 0, 20, 1, 4, 22, 5, 1, 1, 1, 1, 1, 5, 0, 10, 0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 1, 1, 4, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 18, 9, 0, 0, 9, 0, 0, 5, 3, 6, 4, 0, 1, 16, 2, 0, 13, 3, 16, 4, 1, 1, 0, 7, 2, 0, 1, 1, 4, 2, 1, 0, 0, 4, 0, 12, 3, 13, 4, 1, 16, 2, 0, 7, 2, 1, 10, 2, 1, 1, 1, 1, 1, 3, 0, 5, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 3, 7, 2, 9, 3, 1, 6, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 43, 10, 44, 11, 1, 1, 17, 1, 0, 3, 0, 5, 1, 1, 1, 0, 8, 1, 0, 12, 4, 14, 5, 1, 0, 0, 15, 0, 36, 10, 37, 11, 1, 16, 2, 0, 6, 8, 1, 9, 2, 1, 1, 1, 1, 1, 3, 0, 17, 0, 32, 1, 0, 0, 0, 0, 0, 0, 0, 9, 4, 0, 5, 0, 0, 6, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 17, 8, 1, 0, 9, 0, 0, 4, 4, 6, 5, 0, 1, 16, 1, 1, 10, 2, 13, 4, 1, 1, 1, 9, 0, 0, 36, 10, 37, 11, 1, 0, 0, 6, 0, 2, 3, 3, 4, 1, 16, 2, 0, 21, 2, 3, 24, 4, 1, 1, 1, 1, 1, 5, 0, 8, 0, 25, 2, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 4, 1, 0, 4, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 8, 1, 0, 7, 2, 9, 3, 0, 1, 17, 1, 0, 24, 5, 26, 6, 1, 1, 0, 9, 0, 0, 26, 5, 26, 5, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 16, 2, 0, 12, 6, 3, 15, 4, 1, 1, 1, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 18, 9, 0, 0, 9, 0, 0, 12, 3, 13, 4, 0, 1, 17, 1, 0, 19, 7, 21, 8, 1, 1, 0, 9, 0, 0, 4, 0, 5, 1, 1, 0, 0, 6, 0, 0, 1, 1, 2, 1, 14, 4, 0, 32, 1, 5, 37, 6, 1, 1, 1, 1, 1, 4, 0, 7, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 2, 9, 0, 11, 1, 1, 5, 0, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 1, 0, 7, 1, 1, 58, 15, 62, 17, 2, 1, 17, 1, 0, 8, 2, 10, 3, 1, 1, 0, 7, 1, 1, 22, 3, 25, 5, 1, 0, 0, 4, 0, 0, 1, 1, 2, 1, 16, 2, 0, 3, 3, 0, 6, 1, 1, 1, 1, 1, 1, 4, 1, 7, 0, 31, 2, 0, 0, 0, 0, 0, 0, 0, 4, 5, 2, 8, 2, 0, 4, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 1, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 2, 0, 9, 0, 0, 24, 7, 27, 8, 0, 1, 16, 1, 1, 12, 2, 15, 4, 1, 1, 1, 9, 0, 0, 19, 4, 20, 5, 1, 0, 0, 20, 0, 12, 5, 13, 5, 0, 17, 1, 0, 11, 6, 4, 13, 5, 1, 1, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 0, 1, 7, 2, 0, 26, 4, 30, 6, 0, 1, 17, 1, 0, 19, 7, 21, 8, 1, 1, 0, 9, 0, 0, 15, 6, 16, 7, 1, 0, 0, 32, 0, 2, 2, 2, 2, 0, 17, 1, 0, 7, 7, 0, 9, 1, 1, 1, 1, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 15, 6, 2, 1, 7, 2, 0, 13, 3, 19, 5, 3, 1, 16, 2, 0, 4, 3, 7, 4, 1, 1, 0, 9, 0, 0, 15, 3, 16, 4, 1, 0, 0, 5, 0, 5, 2, 6, 3, 1, 15, 3, 0, 32, 1, 4, 36, 5, 1, 1, 1, 1, 1, 3, 0, 9, 0, 31, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 5, 3, 1, 6, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
