Input Number, Run_Number, Result@ 100, predator_g532, prey_Q2a, H1, prey_Q1b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_H2, prey_H1, H2
INVAR-1, Run: 026, F, 0, 0, 1, 3, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1
INVAR-1, Run: 027, F, 0, 0, 3, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0
INVAR-1, Run: 028, F, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1
INVAR-1, Run: 029, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 030, F, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0
INVAR-1, Run: 031, F, 0, 1, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0
INVAR-1, Run: 032, F, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1
INVAR-1, Run: 033, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2
INVAR-1, Run: 034, F, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 4, 1, 0, 0, 2, 0, 1, 3, 1, 0, 4, 1, 2, 0, 0, 0
INVAR-1, Run: 035, F, 0, 2, 2, 2, 1, 2, 0, 0, 0, 1, 1, 1, 4, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0
INVAR-1, Run: 036, F, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 3, 1, 0, 1, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0
INVAR-1, Run: 037, F, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
INVAR-1, Run: 038, F, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 3, 0, 0, 5, 0, 1, 0, 2, 0, 0, 1, 1, 1, 1, 0
INVAR-1, Run: 039, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0
INVAR-1, Run: 040, F, 0, 0, 2, 0, 1, 2, 0, 0, 0, 1, 3, 0, 3, 0, 0, 3, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1
INVAR-1, Run: 041, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 042, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 2, 1, 0, 0, 2, 0
INVAR-1, Run: 043, F, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 0, 1, 2, 0, 0, 3, 1, 0, 0, 1, 0
INVAR-1, Run: 044, F, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 3, 7, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 045, F, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 3, 2, 0, 3, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 046, F, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 047, F, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2
INVAR-1, Run: 048, F, 0, 2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 0, 1
INVAR-1, Run: 049, F, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0
INVAR-1, Run: 050, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 051, F, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 052, F, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 053, F, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 2, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0
INVAR-1, Run: 054, F, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0
INVAR-1, Run: 055, F, 0, 1, 0, 1, 1, 3, 0, 0, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 1, 0, 1, 1, 1, 2, 0, 0, 0
INVAR-1, Run: 056, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0, 0, 0, 0
INVAR-1, Run: 057, F, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 2, 0
INVAR-1, Run: 058, F, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0
INVAR-1, Run: 059, F, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 4, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0
INVAR-1, Run: 060, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 4, 3, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0
INVAR-1, Run: 061, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 5, 1, 1, 0, 0, 0
INVAR-1, Run: 062, F, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 063, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 064, F, 0, 0, 1, 1, 1, 4, 0, 0, 0, 1, 1, 4, 0, 1, 0, 2, 0, 1, 2, 0, 0, 1, 1, 1, 0, 1, 0
INVAR-1, Run: 065, F, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 2, 0, 0, 2, 0, 1, 2, 0, 0, 1, 1, 1, 0, 1, 0
INVAR-1, Run: 066, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0
INVAR-1, Run: 067, F, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0
INVAR-1, Run: 068, F, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1
INVAR-1, Run: 069, F, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 070, F, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 071, F, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 3, 1, 0, 0, 0, 0
INVAR-1, Run: 072, F, 0, 0, 0, 2, 1, 3, 0, 0, 0, 1, 1, 3, 1, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 2, 0, 0, 0
INVAR-1, Run: 073, F, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 074, F, 0, 1, 0, 2, 1, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0
INVAR-1, Run: 075, F, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 2, 0, 1, 1, 4, 1, 0, 0
