Input Number, Run_Number, Result@ 100, H, B, PE, X1, M, PO, CE, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 064, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 6, 45, 9, 6, 4, 8, 18, 28, 14, 45
INVAR-1, Run: 065, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 15, 65, 9, 4, 8, 7, 18, 29, 22, 65
INVAR-1, Run: 066, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 12, 77, 9, 7, 5, 7, 18, 29, 19, 77
INVAR-1, Run: 067, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 36, 167, 9, 7, 3, 8, 18, 28, 44, 167
INVAR-1, Run: 068, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 12, 73, 9, 4, 8, 7, 18, 29, 19, 73
INVAR-1, Run: 069, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 24, 81, 9, 9, 7, 5, 18, 31, 29, 81
INVAR-1, Run: 070, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 9, 59, 9, 6, 6, 7, 18, 29, 16, 59
INVAR-1, Run: 071, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 5, 50, 9, 9, 1, 8, 18, 28, 13, 50
INVAR-1, Run: 072, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 7, 45, 9, 4, 6, 8, 18, 28, 15, 45
INVAR-1, Run: 073, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 14, 141, 9, 10, 6, 5, 18, 31, 19, 141
INVAR-1, Run: 074, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 24, 142, 9, 7, 3, 8, 18, 28, 32, 142
INVAR-1, Run: 075, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 21, 130, 9, 8, 6, 6, 18, 30, 27, 130
INVAR-1, Run: 076, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 6, 42, 9, 7, 5, 7, 18, 29, 13, 42
INVAR-1, Run: 077, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 25, 104, 9, 6, 8, 6, 18, 30, 31, 104
INVAR-1, Run: 078, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 13, 79, 9, 7, 5, 7, 18, 29, 20, 79
INVAR-1, Run: 079, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 16, 55, 9, 6, 6, 7, 18, 29, 23, 55
INVAR-1, Run: 080, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 28, 127, 9, 6, 6, 7, 18, 29, 35, 127
INVAR-1, Run: 081, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 12, 56, 9, 7, 5, 7, 18, 29, 19, 56
INVAR-1, Run: 082, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 19, 104, 9, 7, 7, 6, 18, 30, 25, 104
INVAR-1, Run: 083, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 14, 50, 9, 6, 6, 7, 18, 29, 21, 50
INVAR-1, Run: 084, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 28, 142, 9, 7, 5, 7, 18, 29, 35, 142
INVAR-1, Run: 085, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 24, 98, 9, 10, 4, 6, 18, 30, 30, 98
INVAR-1, Run: 086, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 13, 90, 9, 9, 5, 6, 18, 30, 19, 90
INVAR-1, Run: 087, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 17, 85, 9, 8, 4, 7, 18, 29, 24, 85
INVAR-1, Run: 088, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 12, 127, 9, 7, 7, 6, 18, 30, 18, 127
INVAR-1, Run: 089, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 20, 148, 9, 12, 2, 6, 18, 30, 26, 148
INVAR-1, Run: 090, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 21, 149, 9, 11, 3, 6, 18, 30, 27, 149
INVAR-1, Run: 091, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 9, 83, 9, 8, 6, 6, 18, 30, 15, 83
INVAR-1, Run: 092, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 15, 144, 9, 11, 3, 6, 18, 30, 21, 144
INVAR-1, Run: 093, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 8, 86, 9, 11, 5, 5, 18, 31, 13, 86
INVAR-1, Run: 094, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 9, 128, 9, 10, 0, 8, 18, 28, 17, 128
INVAR-1, Run: 095, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 13, 148, 9, 5, 7, 7, 18, 29, 20, 148
INVAR-1, Run: 096, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 8, 156, 9, 6, 6, 7, 18, 29, 15, 156
INVAR-1, Run: 097, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 11, 79, 9, 5, 7, 7, 18, 29, 18, 79
INVAR-1, Run: 098, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 24, 96, 9, 6, 6, 7, 18, 29, 31, 96
INVAR-1, Run: 099, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 14, 68, 9, 6, 4, 8, 18, 28, 22, 68
INVAR-1, Run: 100, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 20, 119, 9, 6, 4, 8, 18, 28, 28, 119
INVAR-10, Run: 001, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 934, 3911, 100, 63, 58, 89, 200, 311, 1023, 3911
INVAR-10, Run: 002, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 846, 4839, 100, 76, 43, 90, 200, 310, 936, 4839
INVAR-10, Run: 003, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 900, 5703, 100, 71, 46, 91, 200, 309, 991, 5703
INVAR-10, Run: 004, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 935, 5606, 100, 67, 52, 90, 200, 310, 1025, 5606
INVAR-10, Run: 005, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 864, 3807, 100, 56, 61, 91, 200, 309, 955, 3807
INVAR-10, Run: 006, F, 0, 0, 1, 0, 0, 0, 87, 87, 0, 0, 574, 26, 200, 1030, 5139, 100, 65, 60, 87, 200, 313, 1117, 5139
INVAR-10, Run: 007, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 944, 5312, 100, 76, 45, 89, 200, 311, 1033, 5312
INVAR-10, Run: 008, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 859, 5044, 100, 64, 57, 89, 200, 311, 948, 5044
INVAR-10, Run: 009, F, 0, 0, 1, 0, 0, 0, 94, 94, 0, 0, 588, 12, 200, 719, 4390, 100, 77, 34, 94, 200, 306, 813, 4390
INVAR-10, Run: 010, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 832, 5102, 100, 68, 49, 91, 200, 309, 923, 5102
INVAR-10, Run: 011, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 964, 6493, 100, 70, 51, 89, 200, 311, 1053, 6493
INVAR-10, Run: 012, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 833, 4824, 100, 73, 44, 91, 200, 309, 924, 4824
INVAR-10, Run: 013, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 896, 5486, 100, 68, 53, 89, 200, 311, 985, 5486
INVAR-10, Run: 014, F, 0, 0, 1, 0, 0, 0, 87, 87, 0, 0, 574, 26, 200, 923, 6111, 100, 66, 59, 87, 200, 313, 1010, 6111
INVAR-10, Run: 015, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 873, 4859, 100, 60, 59, 90, 200, 310, 963, 4859
INVAR-10, Run: 016, F, 0, 0, 1, 0, 0, 0, 88, 88, 0, 0, 576, 24, 200, 825, 5055, 100, 74, 49, 88, 200, 312, 913, 5055
INVAR-10, Run: 017, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 925, 4615, 100, 69, 48, 91, 200, 309, 1016, 4615
INVAR-10, Run: 018, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 930, 4457, 100, 73, 48, 89, 200, 311, 1019, 4457
INVAR-10, Run: 019, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 776, 4384, 100, 71, 44, 92, 200, 308, 868, 4384
INVAR-10, Run: 020, F, 0, 0, 1, 0, 0, 0, 83, 83, 0, 0, 566, 34, 200, 1265, 6856, 100, 80, 53, 83, 200, 317, 1348, 6856
INVAR-10, Run: 021, F, 0, 0, 1, 0, 0, 0, 88, 88, 0, 0, 576, 24, 200, 1157, 5584, 100, 64, 59, 88, 200, 312, 1245, 5584
INVAR-10, Run: 022, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 994, 5273, 100, 65, 52, 91, 200, 309, 1085, 5273
INVAR-10, Run: 023, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 956, 4722, 100, 60, 55, 92, 200, 308, 1048, 4722
INVAR-10, Run: 024, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 937, 4360, 100, 62, 53, 92, 200, 308, 1029, 4360
INVAR-10, Run: 025, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 1064, 4979, 100, 72, 49, 89, 200, 311, 1153, 4979
INVAR-10, Run: 026, F, 0, 0, 1, 0, 0, 0, 87, 87, 0, 0, 574, 26, 200, 992, 4841, 100, 73, 52, 87, 200, 313, 1079, 4841
INVAR-10, Run: 027, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 830, 4694, 100, 77, 42, 90, 200, 310, 920, 4694
INVAR-10, Run: 028, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 1031, 4947, 100, 71, 50, 89, 200, 311, 1120, 4947
INVAR-10, Run: 029, F, 0, 0, 1, 0, 0, 0, 88, 88, 0, 0, 576, 24, 200, 1083, 4543, 100, 68, 55, 88, 200, 312, 1171, 4543
INVAR-10, Run: 030, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 1101, 5127, 100, 64, 53, 91, 200, 309, 1192, 5127
INVAR-10, Run: 031, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 796, 5468, 100, 79, 40, 90, 200, 310, 886, 5468
INVAR-10, Run: 032, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 690, 3613, 100, 69, 48, 91, 200, 309, 781, 3613
INVAR-10, Run: 033, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 948, 5347, 100, 70, 47, 91, 200, 309, 1039, 5347
INVAR-10, Run: 034, F, 0, 0, 1, 0, 0, 0, 96, 96, 0, 0, 592, 8, 200, 856, 4798, 100, 67, 40, 96, 200, 304, 952, 4798
INVAR-10, Run: 035, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 869, 5641, 100, 70, 47, 91, 200, 309, 960, 5641
INVAR-10, Run: 036, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 662, 4191, 100, 66, 51, 91, 200, 309, 753, 4191
INVAR-10, Run: 037, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 910, 4395, 100, 72, 47, 90, 200, 310, 1000, 4395
INVAR-10, Run: 038, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 1023, 6857, 100, 74, 43, 91, 200, 309, 1114, 6857
INVAR-10, Run: 039, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 764, 4067, 100, 70, 51, 89, 200, 311, 853, 4067
INVAR-10, Run: 040, F, 0, 0, 1, 0, 0, 0, 93, 93, 0, 0, 586, 14, 200, 979, 4310, 100, 75, 38, 93, 200, 307, 1072, 4310
INVAR-10, Run: 041, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 930, 4866, 100, 72, 47, 90, 200, 310, 1020, 4866
INVAR-10, Run: 042, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 869, 4929, 100, 64, 55, 90, 200, 310, 959, 4929
INVAR-10, Run: 043, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 832, 4908, 100, 68, 49, 91, 200, 309, 923, 4908
INVAR-10, Run: 044, F, 0, 0, 1, 0, 0, 0, 93, 93, 0, 0, 586, 14, 200, 883, 4802, 100, 70, 43, 93, 200, 307, 976, 4802
INVAR-10, Run: 045, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 965, 4686, 100, 70, 49, 90, 200, 310, 1055, 4686
INVAR-10, Run: 046, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 887, 5086, 100, 69, 46, 92, 200, 308, 979, 5086
INVAR-10, Run: 047, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 964, 4913, 100, 63, 52, 92, 200, 308, 1056, 4913
INVAR-10, Run: 048, F, 0, 0, 1, 0, 0, 0, 88, 88, 0, 0, 576, 24, 200, 868, 5064, 100, 68, 55, 88, 200, 312, 956, 5064
INVAR-10, Run: 049, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 1019, 5321, 100, 77, 44, 89, 200, 311, 1108, 5321
INVAR-10, Run: 050, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 815, 4654, 100, 72, 45, 91, 200, 309, 906, 4654
INVAR-10, Run: 051, F, 0, 0, 1, 0, 0, 0, 89, 89, 0, 0, 578, 22, 200, 1061, 6920, 100, 73, 48, 89, 200, 311, 1150, 6920
INVAR-10, Run: 052, F, 0, 0, 1, 0, 0, 0, 88, 88, 0, 0, 576, 24, 200, 964, 5262, 100, 78, 45, 88, 200, 312, 1052, 5262
INVAR-10, Run: 053, F, 0, 0, 1, 0, 0, 0, 91, 91, 0, 0, 582, 18, 200, 1021, 5669, 100, 70, 47, 91, 200, 309, 1112, 5669
INVAR-10, Run: 054, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 697, 4630, 100, 79, 36, 92, 200, 308, 789, 4630
INVAR-10, Run: 055, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 965, 4925, 100, 68, 47, 92, 200, 308, 1057, 4925
INVAR-10, Run: 056, F, 0, 0, 1, 0, 0, 0, 92, 92, 0, 0, 584, 16, 200, 890, 3278, 100, 63, 52, 92, 200, 308, 982, 3278
INVAR-10, Run: 057, F, 0, 0, 1, 0, 0, 0, 90, 90, 0, 0, 580, 20, 200, 942, 4229, 100, 62, 57, 90, 200, 310, 1032, 4229
INVAR-10, Run: 058, F, 0, 0, 1, 0, 0, 0, 85, 85, 0, 0, 570, 30, 200, 750, 4213, 100, 74, 55, 85, 200, 315, 835, 4213
